Org ID, Org Name, Address, Website, Ranking, Total Revenue, Category
11358,ASU Foundation, 300 East University Drive,,4 stars,"$115,022,499 ",Education : Other Education Programs and Services
10806,Atlanta Children's Shelter, 607 Peachtree Street NE,http://www.acsatl.org,4 stars,"$1,520,090 ",Human Services : Youth Development Shelter and Crisis Services
3327,Atlanta Community Food Bank, 732 Joseph E. Lowery Boulevard NW,http://www.acfb.org,4 stars,"$94,522,819 ",Human Services : Food Banks Food Pantries and Food Distribution
7203,Atlanta Habitat for Humanity, 519 Memorial Drive SE,http://www.atlantahabitat.org/,4 stars,"$19,075,148 ",Public Benefit : Community and Housing Development
3328,Atlanta Humane Society, 981 Howell Mill Road NW,http://www.atlantahumane.org,4 stars,"$7,965,656 ",Animals : Animal Rights Welfare and Services
10435,Atlas Economic Research Foundation (Atlas Network), 1201 L Street NW,http://atlasnetwork.org/,4 stars,"$8,651,314 ",Public Benefit : Research and Public Policy Institutions
3332,Audubon Nature Institute, 6500 Magazine Street,http://www.auduboninstitute.org,4 stars,"$33,259,354 ",Animals : Zoos and Aquariums
7422,Audubon Society of Portland, 5151 Northwest Cornell Road,http://www.audubonportland.org/,4 stars,"$2,646,448 ",Environment : Environmental Protection and Conservation
10288,Austin Children's Services, 4800 Manor Road,http://www.austinchildrensservices.org,4 stars,"$5,229,427 ",Human Services : Youth Development Shelter and Crisis Services
6348,Austin Community Foundation, 4315 Guadalupe,,4 stars,"$43,252,288 ",Public Benefit : Community Foundations
9175,Austin Habitat for Humanity, 310 Comal Street,http://www.austinhabitat.org/,4 stars,"$6,861,933 ",Public Benefit : Community and Housing Development
13887,Austin YMBL Sunshine Camps, P.O. Box 684980,http://www.sunshinecamps.org/,4 stars,"$1,117,347 ",Human Services : Youth Development Shelter and Crisis Services
8792,Autism Research Institute, 4182 Adams Avenue,http://www.autism.com/,4 stars,"$1,754,803 ",Health : Medical Research
12819,Avenidas, 450 Bryant Street,http://www.avenidas.org/,4 stars,"$8,151,833 ",Human Services : Social Services
15319,Avenues for Homeless Youth, 1708 Oak Park Avenue North,http://avenuesforyouth.org,4 stars,"$1,148,666 ",Human Services : Youth Development Shelter and Crisis Services
